Header,Rating,Review,Product,asin
Works with some devices,3.0 ,"Absurdly bad design that it uses one outlet and blocks the second one. Their ""mini"" doesn't block the other outlet but of course the mini is more expensive. Obviously it can turn all devices off because it's killing the power but it only turns some on. I'm assuming it may not work on a lot of modern devices that don't have a physical on/off button. DEVICES IT DOES TURN ON: - Pioneer plasma TV (it's from around 2005) - Apple TV - Amazon Fire TV - Samsung BD-J5100 Curved Blu-ray Player (2015 Model) DEVICES IT DOES NOT TURN ON: - Holigoo Table Lamp, Touch Control Bedside Lamp - Bose SoundTouch 130 Home Theater System","TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
It took me a little while to get things up ...,5.0 ,"It took me a little while to get things up and running. I think that it was a combination of vague directions, wonky software and my impatience but, once I was finally finished, it worked flawlessly. I got it set up with my DOT and now I don't have to slide behind the sofa to turn the livingroom lamp on. It was well worth the price.","TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
One plug worked great. Second would not connect to wifi,2.0 ,"One plug worked great. Second would not connect to wifi. Called TP cust svc twice and talked with two ESL reps, presume in China. Had to have them repeat instructions many times to understand with their very accented English (and other reps talking in background) and ultimately none of their ""solutions"" worked. Gave up and sent them back.","TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
Good for wall receptical powered tracklights,5.0 ,"Got these to control some tracklights I installed that are powered via a wall plug. With Alexa/Kasa, they work just fine for voice control. Deson't dim but I didn't need it to dim. Will cover both outlets so you should get the mini one if you need both. Easy enough to install, setup and use.","TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
Very easy and quick setup,5.0 ,Got these for 2 lamps that have faulty on/off switches. Very easy and quick setup. Just took a few minutes. Home Wifi picked them up straight away. You can use the free app to turn off/on or just ask Alexa to do it for you. Great purchase. Great purchase,"TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
"Work well, can only use 1 per outlet",4.0 ,"Works with Alexa Echo Dot. Seem well made, yet MASSIVELY thick. Had to buy a 3' 3-prong extension cord so that a bureau didn't have to move 3"" further away from a wall. But before the extension cord was received, there was no reception issue with the bureau blocking it (meaning modem and smart home controller both 'read' it). I only had 2 uses for smart controls, so didn't want to bother with hubs that could control more devices for much less expensive per-unit cost. Only covers 1/2 of an outlet = other side can be used for regular plug or flat extension cord, but can't use 2 of these in 1 outlet - but you probably want a hub system if you are using that many.","TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
Use with Alexa is an issue,1.0 ,"I bought this for the sole purpose of using it with the Echo Dot. I tried multiple times to get Alexa to work it, but it would just tell me to Enable Smart Home Devices. After purchasing I realized almost every review in the Alexa app is of people having the same issue. I tried using the TP-LINK support but they were slow to respond and offered no real solution other than to uninstall and reinstall. I followed the directions, updated the firmware, had the remote control enabled, enabled the plugs in the Alexa skills, but voice commands never worked. Thought about returning for the Wemo Smart plugs, but their reviews seem similar.","TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
Almost perfect...additional re-installation of linked devices is required.,5.0 ,"I had a TP-Link smart bulb that kept losing wifi signal due to distance from the router. The extender functions well. Still 5-stars, but the manual and packaging didn't make clear that the extender creates a new wifi name (old name_EXT and old name_5GHZ_EXT) so the bulbs had to be reset (turn power off/on three times) and paired to the ""new"" wifi name.","TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
Easy to use with Alexa,5.0 ,"These plugs work great with Alexa! We have a family room light hooked up, say ""alexa turn on family room light"" and on it goes. We also used one of the plugs for our Christmas tree- we were then able to turn the tree on and off with Alexa, using the Kasa app on our phones AND we were able to program the tree to go on and off at specific times on each day. I plan to use the programming feature the next time we are vacation to vary the times the lights go on and off in various parts of the house. The plugs were super easy to set up and link to the Kasa app and to Alexa. Literally took 2 minutes total! Highly recommend for use with the Echo.","TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
"Wonderful! Now, let me save you some time...",5.0 ,"I love this device, now that it's finally set up with my Echo Dot. It was a bit frustrating at first. Do yourself a favor and watch a You Tube video. The key things to know are that you have to download TP-Link Kasa application to your smart phone (be sure to create an account...don't hit ""Skip"") and then add the Kasa skill to the Echo. After you have entered your devices in the Kasa app navigate to Home - Tap a device you've now set up then go up to the icon in the right corner and move the Remote Control so it shows green. The rest is pretty straight forward. When you name a device keep it as simple as possible so it will be easier to direct Alexa.","TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
After day one unsure if I’ll kerp it.,3.0 ,"Got it up and working fairly quickly with my iPhone. It doesn’t accept 5G wireless, and you’ll need to find items that can be left on works well with my table fan and older desk lamp. But any newer light with multiple settings would be a good fit.","TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
Awesome little outlet controller that works great with Amazon Echo Dot!!!,5.0 ,"I love these little things. They pair up nicely with Alexa (Echo Dot). Simple to use, set up is a breeze. Just download a couple of apps and bang, I have a voice controlled outlet! Shipping was on time, packaging was nice. No concerns so far.","TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
Great timer with nice smartphone interface,4.0 ,"Plug works great. I have two of these plugs that I purchased to regulate lighting in my saltwater aquarium. Setup app on iPhone not as easy as it is supposed to be, but I am very tech savvy so I was able to extrapolate enough from other similar equipment setups to make it work. The only other problem I had was when I moved locations and plug needed to be connected to a different wifi network. It took me about an hour to figure out how to reassign plug to the new network. Not straightforward at all. But other than those setup issues (only reason I didn't give it 5 stars) the plugs work great and I'm very happy with them. Scheduling on and off times is really simple through the iPhone app.","TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
"Works Well, Too Bulky",4.0 ,"These work well and work with both Echo and Kasa. They were really easy to set up. My only complaint is that they are large, so when you plug them into the outlet, they slightly block the bottom outlet, so it's the only thing you can plug in. They do work with an extension cord or power strip, however. For instance, I have two lamps in close proximity to one another, so I have the extension cord plugged into the wireless plug and can control both lamps at once. Similarly, you can plug the wireless plug into a power strip and control one device and not the others on the power strip. Seems obvious, but I thought I'd mention it in case anyone was wondering.","TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
It Works but the Design is Flawed,3.0 ,The outlet works. I gave this 3 stars because it seems overly large. It covers the outlet below and/or beside it preventing you from using those outlets. The outlet below is covered by just enough to make it unusable. The smart outlet does its job but this issue turned into a major headache for me trying to rework my existing outlets and making use of extension cords to make sure everything I wanted was plugged in.,"TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
To bad people have bad experience,5.0 ,To bad people have bad experience. I am based in the Netherlands and control my sprinkler computer 6000miles away in the Bahamas with this tool. If its raining I turn my computer off for couple days and vise versa. Easy setup. I love it :),"TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
EASIEST SETUP EVER!,5.0 ,"The easiest setup I have EVER experienced. Downloaded app, plugged in device, plugged appliance to device,searched my wi-fi and WHALA it worked. Then had Alexa find the device and easy as pie. Will definitely buy again and recommend this product.","TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
"It works great, just like advertised",3.0 ,"It works great, just like advertised. The problem is the plug is so big, it partially blocks the other electrical outlet rendering it unavailable to other large plug devices.","TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
"... occasionally lose connection to wi-fi and that can be pretty frustrating, but good overall",4.0 ,"They occasionally lose connection to wi-fi and that can be pretty frustrating, but good overall.","TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
Love this mini plugs,4.0 ,"Love this mini plugs, with many options to work with, before I used the old timers? To turn few lights on / off, but this are a lot much better. Very Easy to program and connect to tablet and phone.Sometimes they go off line but its matter to reset and phone will pick up again, I recommend this product.","TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
set up on first try on both units - very ...,5.0 ,set up on first try on both units - very simple - let it ind your wifi and go! very impressed with the product - interface/app was very intuitive - only issue is that i had to close the app after setting it up to get it to take a schedule,"TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
I love that I can now turn off my lamps using ...,4.0 ,"These plugins work exactly as advertised. It was very simple to set them up the the app and to connect them to Alexa, you just have to install the applicable skill. I love that I can now turn off my lamps using Alexa or my phone. You can also set them to turn on at certain times of the day or even turn them on or off remotely. The only reason that I did not give this a 5 star review is that they block the other plugin on the outlet they use. This means that to use the other outlet, you have to have an outlet multiplier. All TP-Link needs to do is reduce the bottom side of the plugin and that problem would be solved.","TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
"Works as expected, really big",3.0 ,The issue I have is that the plug covers 3 outlets on my power strip it's so big.,"TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
Great timer and remote function switch,5.0 ,"Connects to wifi easily. Timer feature allows multiple settings per day, much better than fumbling with a manual timer. I have one which I have left unplugged for months and it connects right back up once plugged back in. Works with Alexa.","TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
Simple and cheap.,4.0 ,"Very easy to setup and use. Would be nice if they worked with HomeKit (iOS), but I think there are ways to do that with a Raspberry Pi -might make a nice DIY project. Will probably buy a few more along with a light switch or two.","TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
Great plug works without probkems.,5.0 ,Works as intended set up was super quick and easy and app works flawlessly. Product is well built and should last long time. Fyi it only works on 2.4Ghz network if your router doesn't not support that then you out of luck.,"TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
Best for Many Reasons,5.0 ,"This plug requires no hub, maintains the correct wi fi address even when unplugged and moved to another outlet, and is easy to set up-- just follow the instructions. Works like a charm. Can group variouslights in a room, sub divide the coffee pot etc. nice and easy. Allows for monitoring when away from home and set up timers for the lights, etc.","TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
..,5.0 ,"Me and my wife are both handicapped, so using these outlets with our echo makes it safer and easier for us to turn our lights on and off. My internet went out one day, and one of the plugs quit working. After getting in touch with their support, it was easy to get an exchange. I recommend you register your product right away to expedite the policy.","TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
TP-Link HS100 Smart Plug (2-Pack). DO NOT BUY!!!,1.0 ,"The install procedure does NOT work. I spent over an hour trying to set this up to be controlled with my Android smart phone. I went through the reset and install procedures several times . Nothing worked. I went to the Kasa web site FAQ and it was no help. I tried online support, and after waiting over an hour for a reply I gave up. The ""help"" site wasn't much help either. It suggested that I try using a different smart phone. I did that. Got the same results. I would NOT recommend purchasing this product. I have returned it to Amazon for a refund.","TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
Very good option to convert your lamps,4.0 ,"Very good option to convert your lamps, lights or any other appliance in and intelligent one controlled by Alexa and the best of all affordable. For me it still is a little bulky but it works for me. i recommend it.","TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
Android and IOS! Remote access is a plus!,5.0 ,"Got them for my sister, and she is happy with the remote access. I connected to the devices using Android and then IOS, no problems at all. She now has piece of mind that she can turn the lights on from the driveway (or the expressway) before entering the house. These are the older models that are big and bulky, but they worked just fine.","TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
I like these and how they function,3.0 ,I like these and how they function. My only real complaint is that they are just too big. They use only one position in the outlet but they obstruct the other one from use by another plug. We have too much stuff to plug in these days to lose an outlet.,"TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
These plugs were so easy to install and works with my echo Alexa are ...,5.0 ,These plugs were so easy to install and works with my Amazon echo and dot. Talk to Alexa and she will and she will turn your items on and off with voice command. These are amazing and love them so I am buying more. You need to install the Kasa app and go through the prompts to set up on your network and if you want to ask Alexa to turn the monitor off you go to the Alexa app and make sure she recognizes them in your devices. My home is so smart and so cool now and you control them with your smart phone or your voice even if you're away from home. These plugs can control lamps fans small appliances Etc. 😀,"TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
One one is working. Working on getting th 2nd to pair but if not I'll have to return both. Coustomer Service hasn't responded,2.0 ,The one that works is a Great product! But one is not connecting! I'm waiting for customer service to help but I have not gotten a response. It will be very inconvient is I have to return both as the one that is working is configured to my entertainment system and Alexa. I will update this post once I i figure out the 2nd one or if it's not going to work and I have to replace them. TBD,"TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
Works with Alexa no hub needed,5.0 ,Easy to set up and program. I use the KASA app with Alexa without adding a hub or any other hardware. I lie that I can switch on/off from my smart phone anywhere there is phone service. Schedule on/off times easily.,"TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
Works as advertised...as long as there are no issues with TP Link server,4.0 ,"I bought a 2-Pack plugs and they work as advertised. Very easy setup and use! The only reason I didn't give it a 5 star rating is because on March 2, TP Link had a server issue and caused these plugs not to work with Alexa...although the Kasa app was still able to control on/off of the plugs. TP Link was quick in response to fix the issue and the next day the plugs were working with Alexa again. But this incident just makes me wonder about when the next TP server issue would happen.","TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
Great choice for home automation using Alexa,5.0 ,I purchased this for use with my Echo's (Alexa) Installation was very intuitive and quick. I was up and running in less than 5 minutes. BIG advantage over other Alexa automation options - This did not require the purchase of a separate hub! ($60 - $200 requirement with other solutions). I plan on making TP-Link the brand of choice for the rest of my home automation.,"TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
one still good; one defective in under a year.,3.0 ,"After one year of use, one unit quit allowing set-up...would not acquire WI-FI despite several earlier activations between homes. Long discussion with TP=LINK customer support...said to return units at place I bought them. I expected the TP-Link HS100 Smart Plug (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control Your Devices from anywhere (HS100 KIT) m to make good on replacement, not Amazon.","TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
Look no further,5.0 ,"I use these in conjunction with my Amazon Echo, to turn on/off lights. It is a great product and fun to use. You can turn on your lights before entering the house via an app. Great product and super fast delivery.","TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
HUBless! Love it!,4.0 ,"I would have given this a five star except, it takes up both outlets. The design needs to be where it only ustilizes the space on 1 of the two outlet sockets! Other then that, I love them with my Alexa, and my dot. I have used it also directly from my iPad and phone when away from home to turn my light on and off! When power flickers, and or goes off then on, it will put itself back on line. It will also remember its ""nick-name"" to what ever device you link it with! Love love these. I did buy 2 and now awaiting another 3 I purchased. Also great because you do not need a home hub!","TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
Great,5.0 ,I ordered 11 of these earlier and they’re great. I miscounted and need one additional so I ordered 2 so I would have a spare. Use them mainly to control Christmas lights and to automate some ambiance during other times of year.,"TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
Work flawless with Alexa.,5.0 ,"Love these plugs. Possibilities are endless. I've used them to turn on my air compressor, my pressure washer, my wife, my lights, and battery chargers. Works flawless with Amazons Alexa. Easy to set up, I plan on buying more.","TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
Do not use extenders,1.0 ,"Have many TP-Link devices and am very pleased - but you should not use an extender - you have to log into a different wi-fi with ""name of wifi_EXT"" - get mesh network - I got Netgear Orbi and love it","TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
Almost totally delighted.,4.0 ,"They seem to forget our Alexa-based setup every now and then, and require unplugging and replugging to resync. Aside from that, it's pleasant to assign them to multiple groups (eg ""bedroom"", ""office"", ""upstairs"", ""all"") for granular control.","TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
Easy to Install and Gives you the House of the Future,5.0 ,"I now own 5 of these plugs. They work great, are easy to set up (honestly, easy) and easy to add to Alexa. A simple use for them, and one that we really enjoy, is for our nightstand lights. I could turn off the light then get in bed, or get in bed and reach over to turn off the light. One way I can't see to adjust the covers and the other messes up the covers when I move. With voice control I just ask Alexa to turn off the light and it goes out. You can put them on coffee makers, Christmas trees, etc. They can be scheduled, turned on with Echo, or with your phone.","TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
Best smart plug out there!,5.0 ,"LOVE these!!! No hub required and so simple to install and use. Works perfectly with Alexa. I have bought 3 sets for myself so far, and a couple for Christmas gifts. Smart home made easy! 10 Stars!!!!!!!!","TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
"Don't Buy, Stopped Working After 2 Weeks!",1.0 ,"Easy setup if you carefully read the instructions including link to Alexa. Worked wonderfully for about two weeks, but suddenly stopped communicating with Alexa. Already spent more time troubleshooting then I would have ever simply turning on and off manually. The KASA app also stopped working unless I was on the same Wi-fi network. This product simply isn't ready for primetime - once a change occurs to your phone, wi-fi or your accounts, everything turns to crap and can't be fixed. So DO NOT BUY - WASTE OF YOUR TIME AND MONEY!","TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
Great Switches For my Farm,5.0 ,These worked Just as I had hoped. have a small 40 acre farm with out buildings located away from the residence. I had the old style remote button that was for things like Christmas tree lights but the range was horrid. Now with my large area WiFi network set up I can turn on the barn yard light and the Horse shed lights from anywhere on the property. Setup was a breeze. When the wife wants to go feed the horses at night all she does is say Alexa turn on all and the lights come on. The timer function is great also. Seems to work over the internet from my phone also .,"TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
These plugs are working great and link to our Echo easily for voice control. Highly recommended!,5.0 ,The plugs are working great and the Kasa app couldn't be easier. It lists all your linked items and is a simple touch on the screen for on and off. I use them with cameras and single pole light outlets. They are working great through our Echo as well. Highly recommended.,"TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
Great smart plug,5.0 ,I have several of these throughout the house all controlled by Alexa. I am yet to have any issue with any of them. I have a good wireless network which is a must if you are using smart devices.,"TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
They work great with Amazon's Alexa,5.0 ,We have 8 of these things. They work great with Amazon's Alexa. We use these along with the TPLink light switches to control many of the lights in our home. Easy to install. Don't require a hub.,"TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
GOODBYE WeMo.....HELLO TP-LINK!!!!!,5.0 ,"As a miserable, irritated, @#%1@#%$ customer of WeMo, who isn't, I finally changed direction and ordered these in for a try. WOW! Been using them for 4 months now, primarily out of network and NOT ONCE have I lost the connection! Along with these I have one of their light switches with the same success. The KASA app, which I run on a Iphone 7S Plus and a Galaxy s6, seems pretty solid, loads quick and is responsive. Since i'm out of town weeks at a time, reliability is EXTREMELY important. With out it, these devices are worthless or should I say WeMoless.......","TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
These work wonderfully just as promised and the set up was easy,5.0 ,Okay. These plugs are a godsend. I had previously bought ektecity plugs and they did not work well at all in my room and kept disconnecting. These work wonderfully just as promised and the set up was easy. I also use a TP-Link ligh bulb for my room and I like that they all use the same system. Alexa works nicely with them also.,"TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
Not up to TP-Link standards,2.0 ,I found that the wi-fi expander to be a bit complicated if you wanted both 2.4g and 5.0 g to work. The documentation is deficient. I have used TP-link products in teh past with better results.,"TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
Excellent Smart Plugs - Worth every dime.,4.0 ,"Had absolutely no issues getting these to work with our lights and we love them. Love the ability to schedule lights on, lights off automatically or have Alexa do it for us and not have to search around in the dark for a switch to flip.","TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
Was working great until the app went down,3.0 ,"Was working great until the app went down. Threw all of the plugs off, then I deleted a plug and couldn't get it back. Finally got it working again after such frustration. I thought something was wrong until I received an email. If this is what happens I won't buy any more. Very frustrating.","TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
Great product!,5.0 ,"These work great from the app or Echo, and do not require a separate hub. I have six of them in the house plus a couple of smart bulbs and two smart switches. All, of course, from TPLink.","TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
I have never had a problem with these Smart Plugs. The only shortcoming is that the APP ...,4.0 ,"I previously used WEMO to control my lights, appliances, etc. via Amazon Echo (Alexa). I had to frequently reset the various WEMO devices. I have never had a problem with these Smart Plugs. The only shortcoming is that the APP to control them only works on cell phones (Android or Apple) , but does not work on any Amazon Fire devices. Once there is a Kindle App available, I will gladly rate these devices as 5-Star. I now have 7 of these in my house. I still have two WEMO devices left to retire and will be doing that soon with two more TP-Link Smart Plugs.","TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
These work great we put them in the living room and the ...,5.0 ,"These work great we put them in the living room and the bedroom and the app is easy to use and very responsive. Overall great process, also recently linked them to Alexa, works great so far.","TP-Link Smart Plug Mini (2-Pack), No Hub Required, Wi-Fi, Works with Alexa and Google Assistant, Control your Devices from Anywhere, Occupies Only One Socket (HS105 KIT)",B06WD6Q8K9
